ObjectNumber,ImageHighRes,ImageLowRes,ImageThumb,Title,Description,CollectionType,Subject,WorkMaker,WorkMedium,WorkDateEarliest,WorkDateLatest,ProductionPlace,OnPOD,PrimaryOrSecondaryImage
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail6.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail6.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail6.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail7.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail7.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail7.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail8.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail8.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail8.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail9.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail9.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail9.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail10.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail10.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail10.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail11.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail11.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail11.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail12.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail12.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail12.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-view2.jpg,,Navigational Map of Europe,Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Primary
1885P2464,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2464.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2464.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2464.jpg,Birmingham Reference Library  - The Reading Room,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",Edward Richard Taylor,Oil on canvas,1881,1881,,,Primary
1885P2465,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2465.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2465.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2465.jpg,La Donna Della Finestra [The Lady of Pity],"Female head, neck and hands finished; the body indicated in outline. Pencil and chalk underdrawing, brown-gold underpainting. A horizontal pencil line across the canvas, c. 9cm from the bottom.",Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Portraits, Pre-Raphaelite",Dante Gabriel  Rossetti,Oil on canvas (unfinished),1881,1881,,Yes,Primary
1885P2466,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2466.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2466.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2466.jpg,A Nook In Nature's Garden,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",James Aumonier,Oil on canvas,1879,1879,,,Primary
1885P2467,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2467.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2467.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2467.jpg,Dreamers,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",Albert JosephMoore,Oil on canvas,1850,1882,,Yes,Primary
1885P2468,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2468-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2468-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2468-view2.jpg,A Condottiere,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",Frederic Leighton,Oil on canvas,1871,1872,,Yes,Primary
1885P2469,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2469.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2469.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2469.jpg,Summer Time Off Cornwall,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",Henry Moore,Oil on canvas,1883,1883,,,Primary
1885P2470,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2470-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2470-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2470-view2.jpg,A Martyr Of The 16th Century  - Johanna Van Santhoven,The death of this unfortunate lady is believed to have taken place in 1514.,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",Willem Geets,Oil on canvas,1883,1883,,,Primary
1885P2471,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2471-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2471-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2471-view2.jpg,A North West Gale off the Longships Lighthouse,A horizontal scene of a gale-swept sky and water.,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",John Brett,Oil on canvas,1873,1873,,Yes,Primary
1885P2472,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2472.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2472.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2472.jpg,Portrait Of John Henry Chamberlain ( 1831-1883 ),The Sitter Was Birmingham's Principal 19th Century Architect. ,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Portraits",William Thomas Roden,Oil on canvas,1864,1864,,,Primary
1885P2473,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2473.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2473.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2473.jpg,Portrait Of Daniel Joseph O'Neill ( 1832-1914 ),"The Sitter Was Secretary To Aston Hall & Park Company, 1858- 1862",Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Portraits",Abraham Wivell Jnr,Oil on canvas,1859,1859,,,Primary
1885P2475,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2475.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2475.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2475.jpg,"Near Llanbedr, Barmouth",Signed and dated C. T. Burt 1872,Fine Art Paintings and Sculpture,Paintings (Visual Works),Charles Thomas Burt,,1872,1872,,,Primary
1885P2476,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2476.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2476.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2476.jpg,The Boat of Love,An enchanted boat with three poets and the women they love.,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Pre-Raphaelite",Dante Gabriel  Rossetti,Monochrome oil on canvas (unfinished),1874,1881,,,Primary
1885P2483,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2483.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2483.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2483.jpg,Isometric View Of Aston Hall,,Fine Art Prints and Drawings,"Paintings (Visual Works), Watercolours (Paintings)",Allen Edward Everitt,Watercolour,1850,1860,,,Primary
1885P2484,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2484.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2484.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2484.jpg,The Skirts of the Forest,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1855,1856,,,Primary
1885P2485,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2485-cropped.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2485-cropped.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2485-cropped.jpg,"All Saints Church, Hastings",,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on cardboard laid on panel,1812,1813,,Yes,Primary
1885P2485,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2485.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2485.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2485.jpg,"All Saints Church, Hastings",,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on cardboard laid on panel,1812,1813,,Yes,Secondary
1885P2486,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2486.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2486.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2486.jpg,"Fishing Boats, Hastings",,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on panel,1812,1813,,,Primary
1885P2487,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2487.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2487.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2487.jpg,Crossing the Sands,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on panel,1848,1848,,Yes,Primary
1885P2489,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2489.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2489.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2489.jpg,Rhyl Sands,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1854,1855,,Yes,Primary
1885P2493,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2493-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2493-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2493-view2.jpg,Waiting for the Ferry,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1845,1845,,,Primary
1885P2494,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2494.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2494.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2494.jpg,"Cottage Interior, Trossavon near Bettws-y-Coed",,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on board,1844,1847,,Yes,Primary
1885P2495,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2495.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2495.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2495.jpg,Changing Pasture,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on canvas,1847,1847,,,Primary
1885P2496,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2496.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2496.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2496.jpg,"The Church, Bettws-y-Coed",Verso: an unfinished painting of a man with a flock of sheep and a horseman,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1844,1856,,,Primary
1885P2497,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2497.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2497.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2497.jpg,Windermere,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on canvas,1844,1844,,,Primary
1885P2498,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2498.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2498.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2498.jpg,"Kilgerran Castle, Pembrokeshire",,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on panel,1852,1852,,,Primary
1885P2499,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2499.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2499.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2499.jpg,"Tending Sheep, Bettws-y-Coed","On stretcher: This is a genuine picture by David Cox and quite pure.  William Hall, Feb 7 1876 View at Bettws-y-Coed River Llugwy",Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1849,1849,,,Primary
1885P2500,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2500.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2500.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2500.jpg,Waiting For The Ferry - Morning,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1851,1851,,,Primary
1885P2501,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2501.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2501.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2501.jpg,Going to the Hayfield,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1853,1853,,,Primary
1885P2502,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2502.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2502.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2502.jpg,The Cross Roads,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on panel,1850,1850,,Yes,Primary
1885P2503,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2503.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2503.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2503.jpg,Evening,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on canvas,1851,1853,,,Primary
1885P2504,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2504.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2504.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2504.jpg,The Peat Gatherers,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on canvas,1850,1850,,,Primary
1885P2505,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2505.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2505.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2505.jpg,Market Gardeners,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on panel,1849,1851,,,Primary
1885P2507,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2507.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2507.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2507.jpg,The Farmstead,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1846,1848,,,Primary
1885P2508,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2508.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2508.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2508.jpg,Sheep Shearing,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1849,1849,,,Primary
1885P2509,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2509.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2509.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2509.jpg,"All Saints Church, Hastings",,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on panel,1812,1812,,Yes,Primary
1885P2511,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2511.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2511.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2511.jpg,The Shrimpers,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1853,1853,,,Primary
1885P2513,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2513.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2513.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2513.jpg,Welsh Shepherds,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on panel,1839,1841,,,Primary
1885P2514,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2514.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2514.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2514.jpg,On the Sands,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on canvas,1849,1851,,,Primary
1885P2515,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2515.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2515.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2515.jpg,Driving Cattle,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works), Landscapes (Representations)",David Cox,Oil on board mounted on panel,1847,1849,,,Primary
1885P2517,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2517.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2517.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2517.jpg,The Missing Lamb,,Fine Art Paintings and Sculpture,"Oil Paintings (Visual Works), Paintings (Visual Works)",David Cox,Oil on canvas,1851,1853,,,Primary
1885P2519,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P2519.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P2519.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P2519.jpg,Penmaen Bach,,Fine Art Prints and Drawings,"Paintings (Visual Works), Landscapes (Representations), Watercolours (Paintings)",David Cox,"Pencil, watercolour and bodycolour on Scotch paper",1852,1852,,Yes,Primary
1885P2524,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1985P2524.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1985P2524.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1985P2524.jpg,"The Conflict at the Guns, Balaclava",,Fine Art Paintings and Sculpture,"Fine Art, Oil Paintings (Visual Works), Paintings (Visual Works)",George Jones (Artist),Oil On Panel,1854,1854,,,Primary
